id,plotid,treatment,zone,transect,site_x_treatment,logger,link
10,110,amb,PIO,1,PIO_amb,pioneer,110
11,111,1.5,PIO,1,PIO_+1.5,pioneer,111
12,112,3,PIO,1,PIO_+3.0,pioneer,112
20,120,amb,PIO,2,PIO_amb,pioneer,120
21,121,1.5,PIO,2,PIO_+1.5,pioneer,121
22,122,3,PIO,2,PIO_+3.0,pioneer,122
30,130,amb,PIO,3,PIO_amb,pioneer,130
31,131,1.5,PIO,3,PIO_+1.5,pioneer,131
32,132,3,PIO,3,PIO_+3.0,pioneer,132
40,240,amb,LM,4,LM_amb,lowmarsh,240
41,241,1.5,LM,4,LM_+1.5,lowmarsh,241
42,242,3,LM,4,LM_+3.0,lowmarsh,242
50,250,amb,LM,5,LM_amb,lowmarsh,250
51,251,1.5,LM,5,LM_+1.5,lowmarsh,251
52,252,3,LM,5,LM_+3.0,lowmarsh,252
60,260,amb,LM,6,LM_amb,lowmarsh,260
61,261,1.5,LM,6,LM_+1.5,lowmarsh,261
62,262,3,LM,6,LM_+3.0,lowmarsh,262
70,370,amb,HM,7,HM_amb,highmarsh,370
71,371,1.5,HM,7,HM_+1.5,highmarsh,371
72,372,3,HM,7,HM_+3.0,highmarsh,372
80,380,amb,HM,8,HM_amb,highmarsh,380
81,381,1.5,HM,8,HM_+1.5,highmarsh,381
82,382,3,HM,8,HM_+3.0,highmarsh,382
90,390,amb,HM,9,HM_amb,highmarsh,390
91,391,1.5,HM,9,HM_+1.5,highmarsh,391
92,392,3,HM,9,HM_+3.0,highmarsh,392
70,370,amb,HM,7,HM_amb,cr1000_merit_highmarsh,370
71,371,1.5,HM,7,HM_+1.5,cr1000_merit_highmarsh,371
72,372,3,HM,7,HM_+3.0,cr1000_merit_highmarsh,372
80,380,amb,HM,8,HM_amb,cr1000_merit_highmarsh,380
81,381,1.5,HM,8,HM_+1.5,cr1000_merit_highmarsh,381
82,382,3,HM,8,HM_+3.0,cr1000_merit_highmarsh,382
90,390,amb,HM,9,HM_amb,cr1000_merit_highmarsh,390
91,391,1.5,HM,9,HM_+1.5,cr1000_merit_highmarsh,391
92,392,3,HM,9,HM_+3.0,cr1000_merit_highmarsh,392
10,110,amb,PIO,1,PIO_amb,pioneer,pioneer
11,111,1.5,PIO,1,PIO_+1.5,pioneer,pioneer
12,112,3,PIO,1,PIO_+3.0,pioneer,pioneer
20,120,amb,PIO,2,PIO_amb,pioneer,pioneer
21,121,1.5,PIO,2,PIO_+1.5,pioneer,pioneer
22,122,3,PIO,2,PIO_+3.0,pioneer,pioneer
30,130,amb,PIO,3,PIO_amb,pioneer,pioneer
31,131,1.5,PIO,3,PIO_+1.5,pioneer,pioneer
32,132,3,PIO,3,PIO_+3.0,pioneer,pioneer
40,240,amb,LM,4,LM_amb,lowmarsh,lowmarsh
41,241,1.5,LM,4,LM_+1.5,lowmarsh,lowmarsh
42,242,3,LM,4,LM_+3.0,lowmarsh,lowmarsh
50,250,amb,LM,5,LM_amb,lowmarsh,lowmarsh
51,251,1.5,LM,5,LM_+1.5,lowmarsh,lowmarsh
52,252,3,LM,5,LM_+3.0,lowmarsh,lowmarsh
60,260,amb,LM,6,LM_amb,lowmarsh,lowmarsh
61,261,1.5,LM,6,LM_+1.5,lowmarsh,lowmarsh
62,262,3,LM,6,LM_+3.0,lowmarsh,lowmarsh
70,370,amb,HM,7,HM_amb,highmarsh,highmarsh
71,371,1.5,HM,7,HM_+1.5,highmarsh,highmarsh
72,372,3,HM,7,HM_+3.0,highmarsh,highmarsh
80,380,amb,HM,8,HM_amb,highmarsh,highmarsh
81,381,1.5,HM,8,HM_+1.5,highmarsh,highmarsh
82,382,3,HM,8,HM_+3.0,highmarsh,highmarsh
90,390,amb,HM,9,HM_amb,highmarsh,highmarsh
91,391,1.5,HM,9,HM_+1.5,highmarsh,highmarsh
92,392,3,HM,9,HM_+3.0,highmarsh,highmarsh
70,370,amb,HM,7,HM_amb,cr1000_merit_highmarsh,cr1000_merit_highmarsh
71,371,1.5,HM,7,HM_+1.5,cr1000_merit_highmarsh,cr1000_merit_highmarsh
72,372,3,HM,7,HM_+3.0,cr1000_merit_highmarsh,cr1000_merit_highmarsh
80,380,amb,HM,8,HM_amb,cr1000_merit_highmarsh,cr1000_merit_highmarsh
81,381,1.5,HM,8,HM_+1.5,cr1000_merit_highmarsh,cr1000_merit_highmarsh
82,382,3,HM,8,HM_+3.0,cr1000_merit_highmarsh,cr1000_merit_highmarsh
90,390,amb,HM,9,HM_amb,cr1000_merit_highmarsh,cr1000_merit_highmarsh
91,391,1.5,HM,9,HM_+1.5,cr1000_merit_highmarsh,cr1000_merit_highmarsh
92,392,3,HM,9,HM_+3.0,cr1000_merit_highmarsh,cr1000_merit_highmarsh
70,370,amb,HM,7,HM_amb,merit highmarsh,merit highmarsh
71,371,1.5,HM,7,HM_+1.5,merit highmarsh,merit highmarsh
72,372,3,HM,7,HM_+3.0,merit highmarsh,merit highmarsh
80,380,amb,HM,8,HM_amb,merit highmarsh,merit highmarsh
81,381,1.5,HM,8,HM_+1.5,merit highmarsh,merit highmarsh
82,382,3,HM,8,HM_+3.0,merit highmarsh,merit highmarsh
90,390,amb,HM,9,HM_amb,merit highmarsh,merit highmarsh
91,391,1.5,HM,9,HM_+1.5,merit highmarsh,merit highmarsh
92,392,3,HM,9,HM_+3.0,merit highmarsh,merit highmarsh
70,370,amb,HM,7,HM_amb,merit highmarsh,370
71,371,1.5,HM,7,HM_+1.5,merit highmarsh,371
72,372,3,HM,7,HM_+3.0,merit highmarsh,372
80,380,amb,HM,8,HM_amb,merit highmarsh,380
81,381,1.5,HM,8,HM_+1.5,merit highmarsh,381
82,382,3,HM,8,HM_+3.0,merit highmarsh,382
90,390,amb,HM,9,HM_amb,merit highmarsh,390
91,391,1.5,HM,9,HM_+1.5,merit highmarsh,391
92,392,3,HM,9,HM_+3.0,merit highmarsh,392
40,240,amb,LM,4,LM_amb,merit lowmarsh,merit lowmarsh
41,241,1.5,LM,4,LM_+1.5,merit lowmarsh,merit lowmarsh
42,242,3,LM,4,LM_+3.0,merit lowmarsh,merit lowmarsh
50,250,amb,LM,5,LM_amb,merit lowmarsh,merit lowmarsh
51,251,1.5,LM,5,LM_+1.5,merit lowmarsh,merit lowmarsh
52,252,3,LM,5,LM_+3.0,merit lowmarsh,merit lowmarsh
60,260,amb,LM,6,LM_amb,merit lowmarsh,merit lowmarsh
61,261,1.5,LM,6,LM_+1.5,merit lowmarsh,merit lowmarsh
62,262,3,LM,6,LM_+3.0,merit lowmarsh,merit lowmarsh
40,240,amb,LM,4,LM_amb,merit lowmarsh,240
41,241,1.5,LM,4,LM_+1.5,merit lowmarsh,241
42,242,3,LM,4,LM_+3.0,merit lowmarsh,242
50,250,amb,LM,5,LM_amb,merit lowmarsh,250
51,251,1.5,LM,5,LM_+1.5,merit lowmarsh,251
52,252,3,LM,5,LM_+3.0,merit lowmarsh,252
60,260,amb,LM,6,LM_amb,merit lowmarsh,260
61,261,1.5,LM,6,LM_+1.5,merit lowmarsh,261
62,262,3,LM,6,LM_+3.0,merit lowmarsh,262
10,110,amb,PIO,1,PIO_amb,merit pioneer,merit pioneer
11,111,1.5,PIO,1,PIO_+1.5,merit pioneer,merit pioneer
12,112,3,PIO,1,PIO_+3.0,merit pioneer,merit pioneer
20,120,amb,PIO,2,PIO_amb,merit pioneer,merit pioneer
21,121,1.5,PIO,2,PIO_+1.5,merit pioneer,merit pioneer
22,122,3,PIO,2,PIO_+3.0,merit pioneer,merit pioneer
30,130,amb,PIO,3,PIO_amb,merit pioneer,merit pioneer
31,131,1.5,PIO,3,PIO_+1.5,merit pioneer,merit pioneer
32,132,3,PIO,3,PIO_+3.0,merit pioneer,merit pioneer
10,110,amb,PIO,1,PIO_amb,merit pioneer,110
11,111,1.5,PIO,1,PIO_+1.5,merit pioneer,111
12,112,3,PIO,1,PIO_+3.0,merit pioneer,112
20,120,amb,PIO,2,PIO_amb,merit pioneer,120
21,121,1.5,PIO,2,PIO_+1.5,merit pioneer,121
22,122,3,PIO,2,PIO_+3.0,merit pioneer,122
30,130,amb,PIO,3,PIO_amb,merit pioneer,130
31,131,1.5,PIO,3,PIO_+1.5,merit pioneer,131
32,132,3,PIO,3,PIO_+3.0,merit pioneer,132
